voltage,current_1,current_2,current_3,current_4,current_5,current_6,current_7,current_8,current_9,current_10,current_11,current_12,current_13,current_14,current_15
0.597992,11.995479874215787,11.984168215410584,11.753047300592293,11.76590509228058,11.897753480810634,11.724144074674184,11.894390444585598,12.17559257446699,11.86993066901717,11.920863526460755,11.943780516553378,12.04776344795799,11.56858476419377,11.98612807311423,11.814733207675165
0.600433,12.233652379246625,12.177041380091701,12.025135666028815,12.051270104649342,12.303411819436377,11.969638329102672,11.98850881107888,11.998202722833067,12.50297936508107,12.156004156253807,12.194621849315551,12.108326853345098,12.107069631700812,11.636112584402962,11.955738218915092
0.602875,11.986824361828909,12.093996228348358,12.343888231662492,12.24300409419908,11.89643253262459,12.173138163319887,12.143805375373649,12.343893354927255,12.391203680949129,12.21684094208589,12.085343716252499,12.289435253135665,11.838237947719932,12.3308080049527,12.09244677310714
0.605316,12.19025212487471,12.40887325069521,12.689393393782403,12.198245765028627,12.297827424154946,12.59513212294252,12.243762189511962,12.538882867938991,12.372439683616525,11.986303953680325,12.398414515640761,12.4514333808081,12.14854458532541,12.473801734344802,12.436962006028491
0.607758,12.268610551655561,12.141877646570729,12.44908135003292,12.436504411110388,12.441852808865699,12.068942698007186,12.293402418229842,12.58110414491127,12.336373366006265,12.441273855827212,12.319552346887606,12.517857346261238,12.085607928142966,12.62740649087196,12.557691833403956
0.610199,12.75007926501581,12.619210136192086,12.389766928080066,12.397135180830656,12.769731882246143,12.712011488994074,12.44458005394066,12.45278408825834,12.543409166350521,12.163561058408861,12.694024402270962,12.621058739561901,12.640512013505992,12.537907455700687,12.086905604231784
0.61264,12.924219086652613,12.358868332783262,12.840414980182814,12.741070518655016,12.778857144683144,12.699899159917821,12.523644298011009,13.06633180069443,12.878230770298574,12.519336663733483,12.824492914308523,12.613237811953232,12.846025300001784,12.91091241961643,12.616864304675435
0.615082,12.968207400939306,13.136577594623335,12.653094424940186,12.667791560862256,12.643929464279132,12.893232867973827,12.641056841054091,13.131910324583083,13.169867194409585,12.93856012346107,12.769155176394722,12.763486436809304,13.201050455288179,12.789312106547765,12.715311945738984
0.617523,13.198982994284682,12.740512219143476,12.870840674627077,12.844087927370177,12.826618398153276,12.777323493284557,12.958188482709954,12.926746977235307,13.207729850521037,12.832423440608071,13.19762672251252,12.965327836662723,12.950561394619283,13.042848403011513,12.63570083082174
0.619965,12.973895598534495,13.257735443857237,13.040001280145285,13.28626279742666,13.126908745408182,13.143196334147865,13.097675384861313,13.078452848123462,13.272486983868626,13.10981803534616,12.795857969796828,13.037834328221624,13.231177168347863,13.365869711955337,13.331595867882305
0.622406,13.237952592225653,13.30503307664213,13.36116058247808,13.630521859077566,12.855489695302403,13.301520690098336,13.329399682641617,13.374307189370752,13.557007139953358,12.754636709819025,13.215908770978826,13.056515124057526,13.340451206136681,12.727484161529514,12.972664049374044
